Chord; Position; Fingering; Max Fingers Required; Number of Barres; Fret Range; Highest Ring Finger; Highest Pinky Finger
A; ['5', '7', '7', '6', '5', '5']; ['1', '3', '4', '2', '1', '1']; 2; 1; 2; 5; 4
A; ['x', '0', '7', '6', '5', '5']; ['0', '0', '3', '2', '1', '1']; 1; 1; 2; 4; 0
A; ['x', '12', '11', '9', '10', '9']; ['0', '4', '3', '1', '2', '1']; 1; 1; 3; 4; 5
A; ['x', '12', '14', '14', '14', '12']; ['0', '1', '2', '3', '4', '1']; 3; 1; 2; 3; 2
A; ['x', '12', '14', '14', '14', '12']; ['0', '1', '3', '3', '3', '1']; 1; 2; 2; 4; 0
A; ['x', '0', '2', '2', '2', '0']; ['0', '0', '1', '2', '3', '0']; 3; 0; 0; 2; 0
A; ['x', '0', '2', '2', '2', '0']; ['0', '0', '1', '1', '1', '0']; 1; 1; 0; 0; 0
A; ['x', '0', '2', '2', '2', '0']; ['0', '0', '2', '3', '4', '0']; 3; 0; 0; 3; 2
A; ['5', '4', '2', '2', '2', '5']; ['3', '2', '1', '1', '1', '4']; 2; 1; 3; 6; 1
A; ['x', 'x', '7', '9', '10', '9']; ['0', '0', '1', '2', '4', '3']; 2; 0; 3; 1; 2
Am; ['x', '0', '2', '2', '1', '0']; ['0', '0', '2', '3', '1', '0']; 2; 0; 1; 3; 0
Am; ['5', '7', '7', '5', '5', '5']; ['1', '3', '4', '1', '1', '1']; 2; 1; 2; 5; 4
Am; ['x', '0', '2', '5', '5', '5']; ['0', '0', '1', '3', '3', '3']; 1; 1; 3; 3; 0
Am; ['x', '0', '2', '5', '5', '5']; ['0', '0', '1', '4', '4', '4']; 1; 1; 3; 0; 3
Am; ['x', 'x', '7', '9', '10', '8']; ['0', '0', '1', '3', '4', '2']; 1; 0; 3; 3; 2
Am; ['x', '12', '14', '14', '13', '12']; ['0', '1', '3', '4', '2', '1']; 2; 1; 2; 4; 3
Am; ['x', 'x', '7', '5', '5', '5']; ['0', '0', '3', '1', '1', '1']; 1; 1; 2; 4; 0
A5; ['x', '0', '2', '2', 'x', 'x']; ['0', '0', '2', '3', '0', '0']; 2; 0; 0; 3; 0
A5; ['x', '0', '2', '2', 'x', 'x']; ['0', '0', '1', '2', '0', '0']; 2; 0; 0; 0; 0
A5; ['x', '0', '2', '2', 'x', 'x']; ['0', '0', '3', '4', '0', '0']; 2; 0; 0; 4; 3
A5; ['5', '7', '7', 'x', 'x', 'x']; ['1', '3', '4', '0', '0', '0']; 2; 0; 2; 5; 4
A5; ['5', '7', '7', 'x', 'x', 'x']; ['1', '2', '3', '0', '0', '0']; 2; 0; 2; 4; 0
A5; ['5', '7', '7', 'x', 'x', 'x']; ['1', '4', '4', '0', '0', '0']; 1; 1; 2; 0; 5
A5; ['5', '7', '7', 'x', 'x', 'x']; ['1', '3', '3', '0', '0', '0']; 1; 1; 2; 5; 0
A5; ['x', '12', '14', '14', 'x', 'x']; ['0', '1', '3', '4', '0', '0']; 2; 0; 2; 4; 3
A5; ['x', '12', '14', '14', 'x', 'x']; ['0', '1', '2', '3', '0', '0']; 2; 0; 2; 3; 0
A5; ['x', '12', '14', '14', 'x', 'x']; ['0', '1', '4', '4', '0', '0']; 1; 1; 2; 0; 4
A5; ['x', '12', '14', '14', 'x', 'x']; ['0', '1', '3', '3', '0', '0']; 1; 1; 2; 4; 0
A5; ['x', 'x', 'x', '2', '5', '5']; ['0', '0', '0', '1', '4', '4']; 1; 1; 3; 0; 2
A5; ['x', 'x', '7', '9', '10', 'x']; ['0', '0', '1', '3', '4', '0']; 1; 0; 3; 3; 2
Asus2; ['x', '0', '2', '2', '0', '0']; ['0', '0', '2', '3', '0', '0']; 2; 0; 0; 3; 0
Asus2; ['x', '0', '2', '2', '0', '0']; ['0', '0', '1', '2', '0', '0']; 2; 0; 0; 0; 0
Asus2; ['x', '0', '2', '2', '0', '0']; ['0', '0', '3', '4', '0', '0']; 2; 0; 0; 4; 3
Asus2; ['x', '12', '14', '14', '12', '12']; ['0', '1', '3', '4', '1', '1']; 2; 1; 2; 4; 3
Asus2; ['x', '12', '14', '14', '12', '12']; ['0', '1', '2', '3', '1', '1']; 2; 1; 2; 3; 0
Asus2; ['x', '12', '14', '16', 'x', 'x']; ['0', '1', '3', '4', '0', '0']; 1; 0; 4; 4; 3
Asus2; ['x', 'x', '7', '4', '5', '7']; ['0', '0', '3', '1', '2', '4']; 2; 0; 3; 4; 1
Asus2; ['x', 'x', '7', '9', '10', '7']; ['0', '0', '1', '3', '4', '1']; 1; 1; 3; 3; 2
Asus4; ['x', '0', '2', '2', '3', '0']; ['0', '0', '1', '2', '3', '0']; 2; 0; 1; 2; 0
Asus4; ['5', '7', '7', '7', '5', '5']; ['1', '2', '3', '4', '1', '1']; 3; 1; 2; 4; 3
Asus4; ['x', '12', '12', '9', '10', 'x']; ['0', '3', '4', '1', '2', '0']; 2; 0; 3; 5; 4
Asus4; ['x', '12', '14', '14', '15', '12']; ['0', '1', '2', '3', '4', '1']; 2; 1; 3; 3; 2
Asus4; ['x', 'x', '7', '9', '10', '10']; ['0', '0', '1', '3', '4', '4']; 1; 1; 3; 3; 2
Asus4; ['x', 'x', '7', '7', '5', '5']; ['0', '0', '3', '4', '1', '1']; 2; 1; 2; 4; 3
A+; ['x', '12', '11', '10', '10', 'x']; ['0', '4', '3', '1', '2', '0']; 2; 0; 2; 4; 5
